"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"10","Participio:Presente","... ","ARRABBIARSI","(aggetivo) ...  ARRABBIARSI","(... ) arrabbiantesi"
"10","Imperativo:Presente","... ","ARRABBIARSI","(per favore) ...  ARRABBIARSI","(... ) arrabbiati"
"11","Indicativo:Presente","io","ARRIVARE","(adesso) io ARRIVARE","(io) arrivo"
"11","Indicativo:Presente","tu","ARRIVARE","(adesso) tu ARRIVARE","(tu) arrivi"
"11","Indicativo:Presente","lei","ARRIVARE","(adesso) lei ARRIVARE","(lei) arriva"
"11","Indicativo:Presente","noi","ARRIVARE","(adesso) noi ARRIVARE","(noi) arriviamo"
"11","Indicativo:Presente","voi","ARRIVARE","(adesso) voi ARRIVARE","(voi) arrivate"
"11","Indicativo:Presente","loro","ARRIVARE","(adesso) loro ARRIVARE","(loro) arrivano"
"11","Indicativo:Imperfetto","voi","ARRIVARE","(ieri) voi ARRIVARE","(voi) arrivavate"
"11","Indicativo:Passato:remoto","io","ARRIVARE","(molto tempo fa) io ARRIVARE","(io) arrivai"
"11","Indicativo:Passato:remoto","loro","ARRIVARE","(molto tempo fa) loro ARRIVARE","(loro) arrivarono"
"11","Indicativo:Futuro:semplice","loro","ARRIVARE","(domani) loro ARRIVARE","(loro) arriveranno"
"11","Indicativo:Passato:prossimo","loro","ARRIVARE","(perfetto) loro ARRIVARE","(loro) sono arrivati"
"11","Indicativo:Trapassato:prossimo","lei","ARRIVARE","(perchè ieri) lei ARRIVARE","(lei) era arrivata"
"11","Congiuntivo:Presente","che io","ARRIVARE","che io ARRIVARE","(che io) arrivi"
"11","Congiuntivo:Presente","che noi","ARRIVARE","che noi ARRIVARE","(che noi) arriviamo"
"11","Congiuntivo:Passato","che io","ARRIVARE","(perfetto) che io ARRIVARE","(che io) sia arrivato"
